Date,NAV,BENCH
2015-01-01,1500.117877412977,2058.9
2015-01-02,1494.1413182587714,2058.2
2015-01-05,1442.0396265655693,2020.58
2015-01-06,1407.058669942763,2002.61
2015-01-07,1423.5287549482546,2025.9
2015-01-08,1452.9901932071812,2062.14
2015-01-09,1427.7868489612097,2044.81
2015-01-12,1404.142426754979,2028.26
2015-01-13,1408.4160560420971,2023.03
2015-01-14,1378.1748812191458,2011.27
2015-01-15,1350.6146411597338,1992.67
2015-01-16,1365.3994711954451,2019.42
2015-01-19,1365.3994712047374,2019.42
2015-01-20,1386.7741183737337,2022.55
2015-01-21,1389.1759651223574,2032.12
2015-01-22,1417.5923493966436,2063.15
2015-01-23,1422.3051563677316,2051.82
2015-01-26,1426.6550759213087,2057.09
2015-01-27,1401.341416429835,2029.55
2015-01-28,1371.0463271291032,2002.16
2015-01-29,1394.5302100492352,2021.25
2015-01-30,1388.571208783893,1994.99
2015-02-02,1401.602661946176,2020.85
2015-02-03,1424.668721256435,2050.03
2015-02-04,1426.484092962377,2041.51
2015-02-05,1444.5091433714947,2062.52
2015-02-06,1440.3614604394074,2055.47
2015-02-09,1419.215908445587,2046.74
2015-02-10,1451.8799231454414,2068.59
2015-02-11,1447.641006093938,2068.53
2015-02-12,1457.3390492741014,2088.48
2015-02-13,1453.2049644154736,2096.99
2015-02-16,1453.2049644476808,2096.99
2015-02-17,1458.9889816949078,2100.34
2015-02-18,1453.458502641634,2099.68
2015-02-19,1465.3321523069862,2097.45
2015-02-20,1479.3215741515216,2110.3
2015-02-23,1470.8922314308509,2109.66
2015-02-24,1473.912667756378,2115.48
2015-02-25,1470.371740844923,2113.86
2015-02-26,1485.9381489495972,2110.74
2015-02-27,1470.2100579996832,2104.5
2015-03-02,1493.4901526142055,2117.39
2015-03-03,1476.6374879574996,2107.78
2015-03-04,1468.7826415651182,2098.53
2015-03-05,1481.9277236443472,2101.04
2015-03-06,1477.1605999087878,2071.26
2015-03-09,1487.1300303653538,2079.43
2015-03-10,1449.3260842343448,2044.16
2015-03-11,1456.967486496627,2040.24
2015-03-12,1479.0403022082623,2065.95
2015-03-13,1474.9388428736677,2053.4
2015-03-16,1501.3721084781405,2081.19
2015-03-17,1505.556401733513,2074.28
2015-03-18,1506.07867983222,2099.5
2015-03-19,1500.2394843268544,2089.27
2015-03-20,1521.5449152920228,2108.1
2015-03-23,1506.5503089279068,2104.42
2015-03-24,1489.928030603566,2091.5
2015-03-25,1448.1366665272978,2061.05
2015-03-26,1452.7516575197542,2056.15
2015-03-27,1461.9975796483882,2061.02
2015-03-30,1475.462300966456,2086.24
2015-03-31,1465.64286511182,2067.89
2015-04-01,1449.4858454968646,2059.69
2015-04-02,1446.0125652886704,2066.96
2015-04-03,1446.0125653003147,2066.96
2015-04-06,1435.2472861602116,2080.62
2015-04-07,1425.2402720147472,2076.33
2015-04-08,1444.0243835972278,2081.9
2015-04-09,1449.0234792304177,2091.18
2015-04-10,1448.9800260611594,2102.06
2015-04-13,1451.3931619183431,2092.43
2015-04-14,1444.5315860119383,2095.84
2015-04-15,1455.8659504245647,2106.63
2015-04-16,1457.349726094254,2104.99
2015-04-17,1434.7516402555796,2081.18
2015-04-20,1435.5570166615296,2100.4
2015-04-21,1438.968462766498,2097.29
2015-04-22,1463.7853805560069,2107.96
2015-04-23,1449.9538816949776,2112.93
2015-04-24,1439.2020178467913,2117.69
2015-04-27,1428.6088403804144,2108.92
2015-04-28,1430.5393120534382,2114.76
2015-04-29,1428.7137462729718,2106.85
2015-04-30,1409.3547931907867,2085.51
2015-05-01,1443.699096863261,2108.29
2015-05-04,1444.385113114694,2114.49
2015-05-05,1420.2797555629493,2089.46
2015-05-06,1416.3618545273214,2080.15
2015-05-07,1431.782223328192,2088.0
2015-05-08,1449.613763031399,2116.1
2015-05-11,1460.4529227093049,2105.33
2015-05-12,1447.4746637053447,2099.12
2015-05-13,1451.4902827338867,2098.48
2015-05-14,1466.9293418869306,2121.1
2015-05-15,1456.326125035342,2122.73
2015-05-18,1479.9207556906624,2129.2
2015-05-19,1476.367135622477,2127.83
2015-05-20,1468.8462792338937,2125.85
2015-05-21,1468.4172680391855,2130.82
2015-05-22,1466.344746804035,2126.06
2015-05-25,1466.3447468159147,2126.06
2015-05-26,1451.9981009358023,2104.2
2015-05-27,1476.1205281797502,2123.48
2015-05-28,1470.3428350874708,2120.79
2015-05-29,1462.0222344523315,2107.39
